total_bill,tip,sex,smoker,day,time,size
24.98,1.28,Male,No,Thur,Lunch,4
48.03,6.73,Male,No,Thur,Lunch,3
39.28,3.83,Female,No,Thur,Lunch,1
33.95,5.58,Male,Yes,Fri,Dinner,4
16.24,9.17,Male,Yes,Fri,Lunch,4
16.24,3.24,Male,No,Sun,Dinner,3
12.32,4.69,Male,No,Sun,Lunch,1
44.65,7.8,Male,Yes,Sun,Lunch,3
34.04,3.06,Female,No,Fri,Dinner,1
38.32,1.69,Male,No,Sun,Dinner,5
10.82,3.61,Male,Yes,Thur,Lunch,2
48.8,2.45,Male,No,Fri,Dinner,2
43.3,9.37,Male,Yes,Sun,Lunch,2
18.49,8.27,Male,No,Thur,Lunch,3
17.27,6.7,Male,Yes,Sun,Lunch,5
17.34,8.84,Male,Yes,Sat,Dinner,1
22.17,8.23,Female,No,Sun,Dinner,4
30.99,2.68,Male,Yes,Sat,Lunch,1
27.28,9.03,Female,Yes,Sun,Lunch,4
21.65,5.85,Female,No,Sun,Lunch,1
34.47,8.27,Male,Yes,Fri,Lunch,5
15.58,9.06,Male,Yes,Fri,Dinner,4
21.69,3.86,Female,No,Sat,Lunch,3
24.65,1.99,Female,No,Fri,Lunch,1
28.24,3.05,Female,Yes,Thur,Dinner,1
41.41,4.84,Male,Yes,Thur,Dinner,4
17.99,8.36,Male,No,Sat,Lunch,3
30.57,8.75,Female,No,Thur,Dinner,3
33.7,1.06,Male,Yes,Thur,Lunch,5
11.86,5.6,Male,Yes,Sun,Lunch,3
34.3,4.76,Female,Yes,Fri,Dinner,3
16.82,3.0,Male,Yes,Thur,Lunch,3
12.6,2.08,Female,Yes,Thur,Dinner,2
47.96,4.04,Female,No,Fri,Lunch,5
48.63,9.49,Female,Yes,Thur,Lunch,1
42.34,3.91,Male,Yes,Thur,Dinner,4
22.18,5.67,Female,Yes,Fri,Dinner,1
13.91,7.33,Male,No,Sun,Dinner,5
37.37,4.27,Female,Yes,Thur,Lunch,4
27.61,9.75,Male,No,Fri,Lunch,5
14.88,9.66,Female,No,Thur,Lunch,3
29.81,3.27,Female,Yes,Thur,Lunch,4
11.38,5.48,Male,Yes,Sun,Dinner,3
46.37,3.71,Male,No,Sat,Dinner,1
20.35,3.56,Male,No,Sat,Dinner,1
36.5,1.33,Male,No,Fri,Lunch,4
22.47,6.49,Female,No,Sat,Dinner,4
30.8,5.52,Male,No,Fri,Dinner,5
31.87,1.46,Male,Yes,Sat,Dinner,5
17.39,3.51,Male,Yes,Sun,Dinner,3
48.78,9.17,Female,Yes,Fri,Lunch,4
41.01,3.16,Female,Yes,Sat,Lunch,1
47.58,2.3,Female,No,Sun,Dinner,5
45.79,5.41,Female,Yes,Sat,Lunch,5
33.92,9.87,Male,Yes,Thur,Dinner,1
46.87,3.18,Female,Yes,Thur,Lunch,5
13.54,7.05,Female,Yes,Sun,Lunch,3
17.84,7.85,Male,Yes,Thur,Dinner,4
11.81,3.14,Female,Yes,Thur,Dinner,1
23.01,7.55,Male,Yes,Fri,Dinner,4
25.55,4.31,Male,Yes,Sat,Dinner,5
20.85,6.69,Male,Yes,Fri,Lunch,5
43.15,6.7,Male,No,Sat,Dinner,1
24.27,5.82,Female,Yes,Thur,Lunch,3
21.24,1.81,Female,Yes,Fri,Dinner,2
31.71,8.52,Female,No,Sat,Lunch,1
15.64,3.89,Male,No,Sat,Dinner,2
42.09,2.68,Female,Yes,Fri,Lunch,2
12.98,1.37,Male,Yes,Sun,Lunch,3
49.48,6.32,Male,No,Sat,Dinner,2
40.89,7.1,Male,Yes,Thur,Dinner,2
17.95,1.15,Female,No,Sat,Lunch,3
10.22,5.61,Female,No,Thur,Dinner,2
42.62,3.04,Female,Yes,Fri,Dinner,2
38.27,6.81,Male,Yes,Sat,Lunch,2
39.16,2.57,Male,Yes,Thur,Dinner,1
40.85,7.22,Female,No,Thur,Dinner,1
12.96,4.48,Male,No,Fri,Dinner,1
24.34,9.43,Female,No,Sat,Dinner,3
14.63,2.24,Female,No,Sat,Dinner,5
44.52,4.07,Female,No,Fri,Dinner,2
34.93,2.02,Male,Yes,Sat,Lunch,2
23.24,9.32,Female,Yes,Fri,Lunch,3
12.54,8.9,Male,Yes,Sat,Dinner,2
22.44,3.32,Male,No,Sun,Dinner,1
23.01,6.94,Female,No,Sat,Lunch,5
39.18,8.35,Female,Yes,Thur,Dinner,4
35.5,6.0,Female,Yes,Thur,Dinner,2
45.49,5.77,Female,Yes,Sun,Lunch,1
28.89,3.18,Male,Yes,Sat,Dinner,4
14.78,1.84,Male,No,Thur,Dinner,5
38.53,9.07,Female,Yes,Thur,Lunch,4
40.43,9.1,Male,No,Sat,Dinner,1
32.45,6.7,Male,Yes,Fri,Dinner,4
40.84,4.05,Male,No,Sat,Dinner,3
29.75,4.14,Male,No,Fri,Dinner,4
30.91,7.53,Male,Yes,Sun,Dinner,2
27.1,9.07,Female,Yes,Sun,Lunch,2
11.02,8.98,Male,No,Thur,Dinner,3
14.32,8.02,Female,Yes,Thur,Lunch,1
